species	Candidate	region	score	Phage_NC_ID	CDS_hits	Epithet
Bacillus amyloliquefaciens ATCC 13952	Bacill phi105	7	150	004167	6	amyloliquefaciens
Bacillus amyloliquefaciens ATCC 13952	Brevib Jimmer1	4	150	029104	9	amyloliquefaciens
Bacillus amyloliquefaciens K2	Bacill SPP1	8	110	004166	17	amyloliquefaciens
Bacillus amyloliquefaciens K2	Brevib Jimmer1	4	100	029104	9	amyloliquefaciens
Bacillus amyloliquefaciens K2	Deep sD6E	7	110	019544	12	amyloliquefaciens
Bacillus subtilis subsp. stercoris D7XPN1	Clostr phiCT9441A	1	110	029022	8	subtilis
Bacillus tequilensis ATCC BAA 819	Brevib Jenst	3	150	028805	70	tequilensis
Bacillus pumilus SH-B9	Bacill phi105	1	91	004167	30	pumilus
Bacillus mycoides BDRD-ST196	Bacill phIS3501	3	150	019502	9	mycoides
Bacillus cereus Rock1-15	Bacill phBC6A52	1	110	004821	12	cereus
Bacillus thuringiensis Bt407	Bacill phBC6A51	3	150	004820	49	thuringiensis
Bacillus coagulans B4098	Paenib HB10c2	1	120	028758	5	coagulans
Bacillus atrophaeus ATCC 9372-1	Brevib Jimmer1	5	120	029104	9	atrophaeus
Bacillus cereus m1550	Bacill phBC6A52	1	110	004821	8	cereus
Clostridium kluyveri DSM 555	Bacill BalMu1	3	100	030945	15	kluyveri
Clostridium kluyveri DSM 555	Clostr phiCD27	2	120	011398	21	kluyveri
Clostridium kluyveri DSM 555	Clostr phiMMP02	6	150	019421	15	kluyveri
Clostridium kluyveri DSM 555	Clostr phiSM101	7	150	008265	8	kluyveri
Clostridium kluyveri DSM 555	Clostr phiSM101	8	150	008265	8	kluyveri
Bacillus mycoides VD146	Bacill BtCS33	2	120	018085	6	mycoides
Bacillus mycoides VD146	Bacill WBeta	1	140	007734	9	mycoides
Bacillus thuringiensis ATCC 10792	Bacill 1	5	100	009737	6	thuringiensis
Bacillus thuringiensis ATCC 10792	Bacill phBC6A51	3	98	004820	49	thuringiensis
Bacillus thuringiensis IBL 200	Bacill phi4J1	6	130	029008	19	thuringiensis
Bacillus thuringiensis IBL 200	Brevib Jenst	2	130	028805	34	thuringiensis
Bacillus mycoides AH621	Bacill phBC6A52	1	100	004821	10	mycoides
Bacillus anthracis Vollum	Bacill phBC6A52	5	11	004821	11	anthracis
Bacillus cereus ATCC 14579	Bacill Bam35c	6	98	005258	21	cereus
Bacillus cereus ATCC 14579	Bacill phBC6A51	2	146	004820	73	cereus
Bacillus cereus ATCC 14579	Bacill phBC6A52	3	140	004821	46	cereus
Bacillus pumilus MZGC1	Deep sD6E	4	120	019544	9	pumilus
Bacillus amyloliquefaciens DSM 7	Bacill phi105	2	150	004167	3	amyloliquefaciens
Bacillus amyloliquefaciens DSM 7	Bacill phi105	6	140	004167	6	amyloliquefaciens
Bacillus amyloliquefaciens DSM 7	Bacill phi105	7	130	004167	9	amyloliquefaciens
Bacillus amyloliquefaciens DSM 7	Brevib Jimmer1	4	100	029104	9	amyloliquefaciens
Bacillus amyloliquefaciens DSM 7	Paenib HB10c2	2	150	028758	3	amyloliquefaciens
Bacillus amyloliquefaciens DSM 7	Paenib Tripp	3	120	028930	28	amyloliquefaciens
Bacillus amyloliquefaciens XH7	Bacill phi105	6	110	004167	5	amyloliquefaciens
Bacillus amyloliquefaciens XH7	Paenib Tripp	7	110	028930	15	amyloliquefaciens
Bacillus anthracis Ames	Bacill 1	1	100	009737	10	anthracis
Bacillus anthracis Ames	Bacill 1	3	100	009737	13	anthracis
Bacillus licheniformis BL1202	Bacill phBC6A52	1	150	004821	8	licheniformis
Bacillus licheniformis BL1202	Bacill phi105	6	110	004167	12	licheniformis
Bacillus licheniformis BL1202	Bacill phi105	7	108	004167	34	licheniformis
Bacillus licheniformis BL1202	Bacill phi105	8	100	004167	20	licheniformis
Bacillus licheniformis BL1202	Bacill PM1	3	120	020883	4	licheniformis
Bacillus licheniformis BL1202	Geobac GBSV1	5	150	008376	6	licheniformis
Bacillus licheniformis BL1202	Paenib HB10c2	3	120	028758	4	licheniformis
Bacillus licheniformis BL1202	Thermu OH2	4	110	021784	6	licheniformis
Bacillus licheniformis ATCC 9789	Bacill phi105	4	100	004167	22	licheniformis
Bacillus licheniformis ATCC 9789	Bacill phi105	5	91	004167	28	licheniformis
Bacillus licheniformis ATCC 9789	Thermu OH2	1	100	021784	6	licheniformis
Bacillus subtilis subsp. subtilis PY79	Thermu OH2	1	110	021784	5	subtilis
Bacillus subtilis subsp. spizizenii TU-B-10	Thermu OH2	5	100	021784	5	subtilis
Bacillus subtilis subsp. spizizenii W23	Thermu OH2	1	100	021784	5	subtilis
Bacillus cereus B4264	Bacill phBC6A52	1	140	004821	20	cereus
Bacillus pumilus 7P	Thermu OH2	4	150	021784	5	pumilus
Bacillus thuringiensis CT-43	Bacill phBC6A51	2	120	004820	57	thuringiensis
Bacillus thuringiensis CT-43	Bacill phBC6A52	4	140	004821	20	thuringiensis
Bacillus thuringiensis CT-43	Bacill phBC6A52	5	110	004821	9	thuringiensis
Bacillus anthracis AH820	Lister 2389	1	120	003291	13	anthracis
Bacillus cereus G9842	Bacill phBC6A52	1	130	004821	12	cereus
Bacillus subtilis subsp. natto BEST195	Bacill phi105	3	130	004167	16	subtilis
Bacillus subtilis subsp subtilis NCIB 3610	Bacill SPbeta	2	140	001884	175	subtilis
Bacillus subtilis subsp subtilis NCIB 3610	Staphy vBSepS_SEP9	4	150	023582	20	subtilis
Bacillus subtilis subsp subtilis NCIB 3610	Thermu OH2	1	100	021784	5	subtilis
Bacillus mycoides KBAB4	Bacill phBC6A52	2	100	004821	7	mycoides
Bacillus mycoides KBAB4	Paenib Tripp	6	100	028930	28	mycoides
Bacillus anthracis A0248	Bacill 1	1	100	009737	10	anthracis
Bacillus anthracis A0248	Bacill 1	3	100	009737	13	anthracis
Bacillus velezensis Bs-916	Thermu OH2	1	100	021784	5	velezensis
Bacillus subtilis subsp. inaquosorum KCTC 13429	Bacill phi105	4	150	004167	8	subtilis
Bacillus subtilis subsp. subtilis BAB-1	Thermu OH2	1	110	021784	5	subtilis
Bacillus pumilus NCTC10337	Paenib Tripp	3	150	028930	26	pumilus
Bacillus subtilis BSn5	Deep sD6E	2	140	019544	10	subtilis
Bacillus subtilis subsp. subtilis 168	Bacill SPbeta	2	139	001884	174	subtilis
Bacillus subtilis subsp. subtilis 168	Thermu OH2	1	110	021784	5	subtilis
Bacillus licheniformis DSM 13	Bacill phi105	4	120	004167	18	licheniformis
Bacillus licheniformis DSM 13	Bacill WBeta	3	150	007734	4	licheniformis
Bacillus licheniformis DSM 13	Thermu OH2	1	100	021784	6	licheniformis
Bacillus licheniformis SCK B11	Bacill phi105	3	100	004167	18	licheniformis
Bacillus licheniformis SCK B11	Thermu OH2	4	100	021784	6	licheniformis
